App_Id,App_Name,AppStore_Url,Primary_Genre,Content_Rating,Size_Bytes,Required_IOS_Version,Released,Updated,Version,Price,Currency,Free,DeveloperId,Developer,Developer_Url,Developer_Website,Average_User_Rating,Reviews,Current_Version_Score,Current_Version_Reviews
com.hkbu.arc.apaper,A+ Paper Guide,https://apps.apple.com/us/app/a-paper-guide/id1277517387?uo=4,Education,4+,21993472,8.0,2017-09-28T03:02:41Z,2018-12-21T21:30:36Z,1.1.2,0.0,USD,True,1375410542,HKBU ARC,https://apps.apple.com/us/developer/hkbu-arc/id1375410542?uo=4,,0.0,0,0.0,0
com.dragonclash.Idlegames,Dragon Clash - Merge&Idle Game,https://apps.apple.com/us/app/dragon-clash-merge-idle-game/id1490963569?uo=4,Games,4+,379350016,9.0,2020-01-02T08:00:00Z,2020-01-02T08:00:00Z,1.0.0,0.0,USD,True,1502963654,云凤 曹,https://apps.apple.com/us/developer/%E4%BA%91%E5%87%A4-%E6%9B%B9/id1502963654?uo=4,,2.53846,13,2.53846,13
com.ersinergul.deadsXstanbul,DeadsXstanbul,https://apps.apple.com/us/app/deadsxstanbul/id1350147530?uo=4,Games,17+,376177664,9.0,2018-03-24T20:18:41Z,2018-05-09T14:47:37Z,1.0.1,0.0,USD,True,1296676573,Ersin Ergul,https://apps.apple.com/us/developer/ersin-ergul/id1296676573?uo=4,http://www.deadsxstanbul.com/,0.0,0,0.0,0
com.smartestmedia.holylebanon,Holy Lebanon,https://apps.apple.com/us/app/holy-lebanon/id1391054579?uo=4,Travel,4+,54787072,9.0,2018-07-02T04:08:49Z,2018-07-02T04:08:49Z,1.0,0.0,USD,True,588288149,Elias Chaer,https://apps.apple.com/us/developer/elias-chaer/id588288149?uo=4,,5.0,3,5.0,3
com.vui.taptapiphone,TAPTAP - Tích điểm đổi Voucher,https://apps.apple.com/us/app/taptap-t%C3%ADch-%C4%91i%E1%BB%83m-%C4%91%E1%BB%95i-voucher/id1487758263?uo=4,Lifestyle,17+,165422080,10.0,2019-12-31T08:00:00Z,2021-09-01T02:33:01Z,2.0.10,0.0,USD,True,1582429138,VUI VIETNAM TRADING COMPANY LIMITED,https://apps.apple.com/us/developer/vui-vietnam-trading-company-limited/id1582429138?uo=4,,4.0,4,4.0,4
com.jarvapps.GeoExpertCanada.Mac,GeoExpert - Canada Geography,https://apps.apple.com/us/app/geoexpert-canada-geography/id829068323?mt=12&uo=4,Games,4+,26098290,10.6.6,2014-03-04T01:30:10Z,2017-10-06T18:37:59Z,4.4.0,4.99,USD,False,492684294,Sierra Chica Software SL,https://apps.apple.com/us/developer/sierra-chica-software-sl/id492684294?mt=12&uo=4,http://www.educaPix.com,0.0,0,0.0,0
jordainsharma.LearningApp,Study Guru A+,https://apps.apple.com/us/app/study-guru-a/id1423962358?uo=4,Education,4+,8641536,11.2,2018-08-13T06:30:32Z,2018-08-14T18:10:03Z,1.0.1,0.99,USD,False,1423962357,Jordain Sharma,https://apps.apple.com/us/developer/jordain-sharma/id1423962357?uo=4,https://twitter.com/StudyGuruA1,5.0,2,5.0,2
uk.co.proverb2.midilooper,MIDI Looper LIVE,https://apps.apple.com/us/app/midi-looper-live/id1495583811?uo=4,Music,4+,4276224,13.1,2020-04-11T07:00:00Z,2020-05-16T10:10:47Z,1.0.2,4.99,USD,False,485088804,Proverb2 Limited,https://apps.apple.com/us/developer/proverb2-limited/id485088804?uo=4,https://choralcode.uk/midi-looper-live/,4.0,1,4.0,1
com.hfg.parallelroomescape,Parallel Room Escape,https://apps.apple.com/us/app/parallel-room-escape/id1538538276?uo=4,Games,12+,150767616,10.0,2020-12-03T08:00:00Z,2021-02-26T21:05:24Z,1.2,0.0,USD,True,1494267166,HFG ENTERTAINMENTS,https://apps.apple.com/us/developer/hfg-entertainments/id1494267166?uo=4,,3.93333,15,3.93333,15
com.neemo.rappy10,Rappy 10,https://apps.apple.com/us/app/rappy-10/id1262423724?uo=4,Food & Drink,12+,18495488,7.1,2017-07-23T17:08:21Z,2017-07-23T17:08:21Z,8.8,0.0,USD,True,858045800,Rodrigo Ferreira,https://apps.apple.com/us/developer/rodrigo-ferreira/id858045800?uo=4,http://neemo.com.br,0.0,0,0.0,0
com.taksimbilisim.Yerel-Medya,Artı Dijital Medya,https://apps.apple.com/us/app/art%C4%B1-dijital-medya/id593435447?uo=4,Entertainment,4+,977920,13.1,2013-01-17T22:22:44Z,2020-02-20T21:38:19Z,3.0,0.0,USD,True,1453356696,GUC TELEKOM MEDYA VE ILETISIM TICARET ANONIM SIRKETI,https://apps.apple.com/us/developer/guc-telekom-medya-ve-iletisim-ticaret-anonim-sirketi/id1453356696?uo=4,http://www.artiyerelmedya.com,3.0,2,3.0,2
com.vrmetro.hairmx,Hair Mechanix,https://apps.apple.com/us/app/hair-mechanix/id1255252244?uo=4,Business,4+,59467776,9.0,2017-07-06T19:46:03Z,2021-09-16T12:43:16Z,2.0.5,0.0,USD,True,1210195280,Bring em Back Apps,https://apps.apple.com/us/developer/bring-em-back-apps/id1210195280?uo=4,,4.42856,7,4.42856,7
com.block.puzzle.jigsaw.picture.gallery.ios,Block Puzzle - Jigsaw Gallery,https://apps.apple.com/us/app/block-puzzle-jigsaw-gallery/id1535739964?uo=4,Games,4+,202992640,9.0,2020-11-11T08:00:00Z,2021-10-12T06:53:58Z,1.8.0,0.0,USD,True,1457806030,"Hong Hai Wu Xian Technology Development Co., Ltd.",https://apps.apple.com/us/developer/hong-hai-wu-xian-technology-development-co-ltd/id1457806030?uo=4,http://blockpuzzle.net,4.85881,1785,4.85881,1785
zenith.agagames,Agagames narrative augioquests,https://apps.apple.com/us/app/agagames-narrative-augioquests/id1483604933?uo=4,Games,12+,13181952,10.0,2020-01-02T08:00:00Z,2021-07-28T10:30:20Z,1.047,0.0,USD,True,1483604932,Zenith studio,https://apps.apple.com/us/developer/zenith-studio/id1483604932?uo=4,https://agagames.app,0.0,0,0.0,0
arhimedia.emg.novipazar,Guide through Novi Pazar,https://apps.apple.com/us/app/guide-through-novi-pazar/id1517153035?uo=4,Education,4+,324935680,7.0,2020-06-07T07:00:00Z,2020-09-28T15:44:41Z,1.2,0.0,USD,True,1457834550,Dusan Tatic,https://apps.apple.com/us/developer/dusan-tatic/id1457834550?uo=4,,0.0,0,0.0,0
com.grafenit.businessprovider,Business Provider,https://apps.apple.com/us/app/business-provider/id1584827697?uo=4,Utilities,17+,112332800,12.0,2021-09-14T07:00:00Z,2021-09-14T13:19:24Z,1.0.3,0.0,USD,True,1584827699,Grafenit,https://apps.apple.com/us/developer/grafenit/id1584827699?uo=4,https://www.grafenit.com/,0.0,0,0.0,0
